timestamp,value,sensor_id,location_id
2026-04-09 08:07:20.28+00,21.9,5a31c22bca88de2d3b5dd140,
2026-04-09 08:06:19.976+00,21.9,5a31c22bca88de2d3b5dd140,
2026-04-09 08:05:19.915+00,21.9,5a31c22bca88de2d3b5dd140,
2026-04-09 08:04:19.858+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 08:03:19.598+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 08:02:19.735+00,21.9,5a31c22bca88de2d3b5dd140,
2026-04-09 08:01:19.606+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 08:00:19.435+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 07:59:19.35+00,22.1,5a31c22bca88de2d3b5dd140,
2026-04-09 07:58:19.255+00,22.2,5a31c22bca88de2d3b5dd140,
2026-04-09 07:57:19.125+00,22.2,5a31c22bca88de2d3b5dd140,
2026-04-09 07:56:19.052+00,22.2,5a31c22bca88de2d3b5dd140,
2026-04-09 07:55:18.969+00,22.2,5a31c22bca88de2d3b5dd140,
2026-04-09 07:54:19.173+00,22.2,5a31c22bca88de2d3b5dd140,
2026-04-09 07:53:18.945+00,22.2,5a31c22bca88de2d3b5dd140,
2026-04-09 07:52:18.925+00,22.2,5a31c22bca88de2d3b5dd140,
2026-04-09 07:51:19.158+00,22.2,5a31c22bca88de2d3b5dd140,
2026-04-09 07:50:18.602+00,22.1,5a31c22bca88de2d3b5dd140,
2026-04-09 07:49:18.461+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 07:48:19.169+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 07:47:18.413+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 07:46:18.503+00,21.9,5a31c22bca88de2d3b5dd140,
2026-04-09 07:45:18.171+00,21.9,5a31c22bca88de2d3b5dd140,
2026-04-09 07:44:18.004+00,21.9,5a31c22bca88de2d3b5dd140,
2026-04-09 07:43:17.969+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 07:42:17.862+00,21.9,5a31c22bca88de2d3b5dd140,
2026-04-09 07:41:17.785+00,21.8,5a31c22bca88de2d3b5dd140,
2026-04-09 07:40:17.698+00,21.9,5a31c22bca88de2d3b5dd140,
2026-04-09 07:39:17.928+00,21.8,5a31c22bca88de2d3b5dd140,
2026-04-09 07:38:17.442+00,21.8,5a31c22bca88de2d3b5dd140,
2026-04-09 07:37:17.555+00,21.8,5a31c22bca88de2d3b5dd140,
2026-04-09 07:36:17.303+00,21.8,5a31c22bca88de2d3b5dd140,
2026-04-09 07:35:17.29+00,21.7,5a31c22bca88de2d3b5dd140,
2026-04-09 07:34:17.122+00,21.7,5a31c22bca88de2d3b5dd140,
2026-04-09 07:33:17.052+00,21.6,5a31c22bca88de2d3b5dd140,
2026-04-09 07:32:17.023+00,21.6,5a31c22bca88de2d3b5dd140,
2026-04-09 07:31:16.954+00,21.6,5a31c22bca88de2d3b5dd140,
2026-04-09 07:30:17.464+00,21.5,5a31c22bca88de2d3b5dd140,
2026-04-09 07:29:16.777+00,21.5,5a31c22bca88de2d3b5dd140,
2026-04-09 07:28:16.851+00,21.5,5a31c22bca88de2d3b5dd140,
2026-04-09 07:27:16.716+00,21.5,5a31c22bca88de2d3b5dd140,
2026-04-09 07:26:16.667+00,21.5,5a31c22bca88de2d3b5dd140,
2026-04-09 07:25:16.752+00,21.5,5a31c22bca88de2d3b5dd140,
2026-04-09 07:24:16.712+00,21.5,5a31c22bca88de2d3b5dd140,
2026-04-09 07:23:16.469+00,21.4,5a31c22bca88de2d3b5dd140,
2026-04-09 07:22:16.496+00,21.4,5a31c22bca88de2d3b5dd140,
2026-04-09 07:20:08.45+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 07:19:15.908+00,22.3,5a31c22bca88de2d3b5dd140,
2026-04-09 07:18:13.193+00,22.7,5a31c22bca88de2d3b5dd140,
2026-04-09 05:06:30.816+00,21.5,5a31c22bca88de2d3b5dd140,
2026-04-09 05:05:37.762+00,22,5a31c22bca88de2d3b5dd140,
2026-04-09 05:04:35.828+00,21.9,5a31c22bca88de2d3b5dd140,
